trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,image_trial.started,image_trial.stopped,keyboard_trial.keys,keyboard_trial.rt,keyboard_trial.started,keyboard_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.450434579979628,None,right,0.44385096296900883,7.450434579979628,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
1,0,1,0,8.619811382028274,None,right,3.2173188109882176,8.619811382028274,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
2,0,2,0,12.150420452991966,None,right,0.33581806701840833,12.150420452991966,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
3,0,3,0,12.800132367003243,None,right,0.3347134420182556,12.800132367003243,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
4,0,4,0,13.801074045011774,None,right,0.107879007991869,13.801074045011774,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
5,0,5,0,14.218819394998718,None,right,0.2671697559999302,14.218819394998718,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
6,0,6,0,14.801658552023582,None,right,0.21432862296933308,14.801658552023582,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
7,0,7,0,15.671548155019991,None,right,0.3953569880104624,15.671548155019991,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
8,0,8,0,16.369109653984196,None,right,0.38589395995950326,16.369109653984196,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
9,0,9,0,17.069802061014343,None,right,0.33108275599079207,17.069802061014343,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
10,0,10,0,18.070015168981627,None,right,0.3018932080012746,18.070015168981627,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
11,0,11,0,18.687042948033195,None,right,0.4405223400099203,18.687042948033195,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
12,0,12,0,19.43663747201208,None,right,0.2001260819961317,19.43663747201208,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
13,0,13,0,20.310885993007105,None,right,0.12079370702849701,20.310885993007105,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
14,0,14,0,20.73751754598925,None,right,0.07614992302842438,20.73751754598925,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
15,0,15,0,21.122543078032322,None,right,0.09515442396514118,21.122543078032322,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
16,0,16,0,21.87958341499325,None,right,0.02310648001730442,21.87958341499325,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
17,0,17,0,22.205631888995413,None,right,0.1648939159931615,22.205631888995413,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
18,0,18,0,22.672433601983357,None,right,0.14617652603192255,22.672433601983357,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
19,0,19,0,23.512179895013105,None,right,0.09443531301803887,23.512179895013105,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
20,0,20,0,23.90674685302656,None,right,0.17072825896320865,23.90674685302656,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
21,0,21,0,24.392812553036492,None,right,0.17562329000793397,24.392812553036492,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
22,0,22,0,25.254295683989767,None,right,0.0008841559756547213,25.254295683989767,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
23,0,23,0,25.59106944099767,None,right,0.2731839069747366,25.59106944099767,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
24,0,24,0,26.17702319100499,None,right,0.01240660302573815,26.17702319100499,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
25,0,25,0,26.875922370993067,None,right,0.24919470195891336,26.875922370993067,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
26,0,26,0,27.442376193997916,None,right,0.17883876198902726,27.442376193997916,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
27,0,27,0,27.941311250033323,None,right,0.1119741770089604,27.941311250033323,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
28,0,28,0,28.72633043298265,None,right,0.29172411299077794,28.72633043298265,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
29,0,29,0,29.309791718027554,None,right,0.2654471800196916,29.309791718027554,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
30,0,30,0,29.864708046021406,None,right,0.7363715009996668,29.864708046021406,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
31,0,31,0,31.25395495601697,None,right,0.059525092015974224,31.25395495601697,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
32,0,32,0,31.611337536014616,None,right,0.46782535495003685,31.611337536014616,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
33,0,33,0,32.38199710403569,None,right,0.32288459595292807,32.38199710403569,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
34,0,34,0,33.35430578200612,None,right,1.1015121630043723,33.35430578200612,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
35,0,35,0,34.745697338017635,None,right,0.5213032369501889,34.745697338017635,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
36,0,36,0,35.568515930033755,None,right,0.3752815970219672,35.568515930033755,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
37,0,37,0,36.58678459102521,None,right,0.15980729000875726,36.58678459102521,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
38,0,38,0,37.095558985020034,None,right,0.32807095895987004,37.095558985020034,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
39,0,39,0,37.729252588003874,None,right,0.2773748489562422,37.729252588003874,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
40,0,40,0,38.64727928198408,None,right,0.29137315100524575,38.64727928198408,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
