5.7542 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
6.4461 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x13178fbe0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x131667ac8>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4461 	EXP 	window1: recordFrameIntervals = False
6.6120 	EXP 	window1: recordFrameIntervals = True
6.7952 	EXP 	window1: recordFrameIntervals = False
7.1253 	EXP 	Created image_trial = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
7.2489 	EXP 	Created sequence: random, trialTypes=1, nReps=10000, seed=None
7.3037 	EXP 	New trial (rep=0, index=0): None
7.4504 	EXP 	image_trial: image = 'imgs/1.jpg'
7.4504 	EXP 	image_trial: autoDraw = True
8.1321 	EXP 	New trial (rep=1, index=0): None
8.5642 	DATA 	Keypress: right
8.6198 	EXP 	image_trial: autoDraw = False
8.6198 	EXP 	image_trial: image = 'imgs/2.jpg'
8.6198 	EXP 	image_trial: autoDraw = True
12.0709 	EXP 	New trial (rep=2, index=0): None
12.1299 	DATA 	Keypress: right
12.1336 	DATA 	Keypress: right
12.1504 	EXP 	image_trial: autoDraw = False
12.1504 	EXP 	image_trial: image = 'imgs/3.jpg'
12.1504 	EXP 	image_trial: autoDraw = True
12.7232 	EXP 	New trial (rep=3, index=0): None
12.7806 	DATA 	Keypress: right
12.8001 	EXP 	image_trial: autoDraw = False
12.8001 	EXP 	image_trial: image = 'imgs/1.jpg'
12.8001 	EXP 	image_trial: autoDraw = True
13.3691 	EXP 	New trial (rep=4, index=0): None
