trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,text_welcome.started,text_welcome.stopped,keyboard_welcome.keys,keyboard_welcome.rt,keyboard_welcome.started,keyboard_welcome.stopped,image_trial.started,image_trial.stopped,keyboard_trial.keys,keyboard_trial.rt,keyboard_trial.started,keyboard_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.166820342012215,None,space,2.507506583002396,9.166820342012215,None,,,,,,,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
0,0,0,0,,,,,,,11.99007659900235,None,right,0.9190441099926829,11.99007659900235,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
1,0,1,0,,,,,,,13.610945843043737,None,right,0.35815410199575126,13.610945843043737,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
2,0,2,0,,,,,,,14.285452290030662,None,right,0.3585419799783267,14.285452290030662,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
3,0,3,0,,,,,,,14.94230337603949,None,right,0.31978874205378816,14.94230337603949,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
4,0,4,0,,,,,,,15.931175324018113,None,right,0.6508660039980896,15.931175324018113,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
5,0,5,0,,,,,,,16.885694653028622,None,right,0.3462783240247518,16.885694653028622,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
6,0,6,0,,,,,,,17.537681707995944,None,right,0.28828490496380255,17.537681707995944,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
7,0,7,0,,,,,,,18.50427687203046,None,left,0.33262402698164806,18.50427687203046,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
8,0,8,0,,,,,,,19.170715410029516,None,left,0.6153163309791125,19.170715410029516,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
9,0,9,0,,,,,,,20.074102803017013,None,left,0.2857469080481678,20.074102803017013,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
10,0,10,0,,,,,,,21.048200117016677,None,left,0.2766269550193101,21.048200117016677,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
11,0,11,0,,,,,,,21.65589973103488,None,left,0.3490159889915958,21.65589973103488,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
12,0,12,0,,,,,,,22.289096584019717,None,left,0.3206401669885963,22.289096584019717,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
13,0,13,0,,,,,,,23.276562365004793,None,left,0.2381437749718316,23.276562365004793,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
14,0,14,0,,,,,,,23.838891613995656,None,left,0.33277226600330323,23.838891613995656,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
15,0,15,0,,,,,,,24.456541688006837,None,left,0.26006357796723023,24.456541688006837,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
16,0,16,0,,,,,,,25.397733676014468,None,left,0.01179256197065115,25.397733676014468,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
17,0,17,0,,,,,,,25.74082962103421,None,left,0.3617123939911835,25.74082962103421,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
18,0,18,0,,,,,,,26.39150663703913,None,left,0.37095114699332044,26.39150663703913,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
19,0,19,0,,,,,,,27.44637675699778,None,left,0.45100075099617243,27.44637675699778,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
20,0,20,0,,,,,,,28.225609543034807,None,left,0.8447315390221775,28.225609543034807,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
21,0,21,0,,,,,,,29.361408977012616,None,left,0.7278911610483192,29.361408977012616,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
22,0,22,0,,,,,,,30.765112497028895,None,right,0.6601838039932773,30.765112497028895,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
23,0,23,0,,,,,,,31.712127144041006,None,left,0.5430754349799827,31.712127144041006,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
24,0,24,0,,,,,,,32.912814576993696,None,right,0.45339993201196194,32.912814576993696,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
25,0,25,0,,,,,,,33.66106336703524,None,right,0.46792342996923253,33.66106336703524,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
26,0,26,0,,,,,,,34.430243148992304,None,left,0.6418100339942612,34.430243148992304,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
27,0,27,0,,,,,,,35.362133701040875,None,left,0.955879469984211,35.362133701040875,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
28,0,28,0,,,,,,,36.980093236023095,None,left,0.5949388499720953,36.980093236023095,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
29,0,29,0,,,,,,,37.88020411902107,None,right,0.7487740549840964,37.88020411902107,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
30,0,30,0,,,,,,,39.2693480339949,None,right,0.636443983996287,39.2693480339949,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
31,0,31,0,,,,,,,40.199353538046125,None,right,0.3492765039554797,40.199353538046125,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
32,0,32,0,,,,,,,40.85129736404633,None,right,0.3505343860015273,40.85129736404633,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
33,0,33,0,,,,,,,41.85545045603067,None,right,0.2803930759546347,41.85545045603067,None,,001,2020_Feb_05_1922,image_slide,3.2.4,59.8743876177962,
