trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,text_welcome.started,text_welcome.stopped,keyboard_welcome.keys,keyboard_welcome.rt,keyboard_welcome.started,keyboard_welcome.stopped,image_trial.started,image_trial.stopped,keyboard_trial.keys,keyboard_trial.rt,keyboard_trial.started,keyboard_trial.stopped,image_trial.image_number,text_end.started,text_end.stopped,keyboard_end.keys,keyboard_end.rt,keyboard_end.started,keyboard_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.7061751000001095,None,space,1.255759481980931,6.7061751000001095,None,,,,,,,,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
0,0,0,0,,,,,,,8.257874451985117,None,right,0.6301228579832241,8.257874451985117,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
1,0,1,0,,,,,,,9.613259723992087,None,right,0.640635025978554,9.613259723992087,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
2,0,2,0,,,,,,,10.590031753992662,None,right,0.4838222119724378,10.590031753992662,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
3,0,3,0,,,,,,,11.422952223976608,None,right,0.5388690039981157,11.422952223976608,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
4,0,4,0,,,,,,,12.65664865198778,None,right,0.2920946000376716,12.65664865198778,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
5,0,5,0,,,,,,,13.290614847966935,None,right,0.39995172497583553,13.290614847966935,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
6,0,6,0,,,,,,,14.041307058010716,None,right,0.30634039698634297,14.041307058010716,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
7,0,7,0,,,,,,,15.058398221968673,None,right,0.1863298580283299,15.058398221968673,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
8,0,8,0,,,,,,,15.591779289010447,None,left,0.301839423016645,15.591779289010447,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
9,0,9,0,,,,,,,16.605599389993586,None,left,0.24675460899015889,16.605599389993586,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
10,0,10,0,,,,,,,17.19579191401135,None,left,0.38286496401997283,17.19579191401135,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
11,0,11,0,,,,,,,17.92605339997681,None,left,0.27137413196032867,17.92605339997681,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
12,0,12,0,,,,,,,18.900316348997876,None,left,0.18605756503529847,18.900316348997876,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
13,0,13,0,,,,,,,19.429544348968193,None,left,0.37580126599641517,19.429544348968193,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
14,0,14,0,,,,,,,20.12685918196803,None,left,0.27255050803069025,20.12685918196803,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
15,0,15,0,,,,,,,21.11200144898612,None,left,0.05629901896463707,21.11200144898612,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
16,0,16,0,,,,,,,21.534994292014744,None,left,0.3292910910095088,21.534994292014744,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
17,0,17,0,,,,,,,22.24509623995982,None,left,0.2192012339946814,22.24509623995982,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
18,0,18,0,,,,,,,23.192642126989085,None,left,1.361463403038215,23.192642126989085,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
19,0,19,0,,,,,,,24.917938806989696,None,left,0.3642173099797219,24.917938806989696,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
20,0,20,0,,,,,,,25.629927982983645,None,left,0.3192530060186982,25.629927982983645,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
21,0,21,0,,,,,,,26.67535284900805,None,right,0.30371171195292845,26.67535284900805,None,2,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
22,0,22,0,,,,,,,27.318424516008236,None,right,0.4766000770032406,27.318424516008236,None,3,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
23,0,23,0,,,,,,,28.130090243008453,None,right,0.4276409780140966,28.130090243008453,None,1,,,,,,,,001,2020_Feb_05_1941,image_slide,3.2.4,59.59813585435931,
